start	end	role	text
1	10	part1	Bon c'est parti 
2	20	part2	on va le mettre là puis On va essayer de l'oublier
3	30	part1	bon Juste pour t'expliquer en fait on refait un peu comme comme hier sauf qu'on chacun détaille un petit peu plus ce qu'il a fait et puis puis on essaye de de discuter puis sur sur des points plus en detail que ce qu'on a ce qu'on a deja discuté hier 
4	40	part2	Ilyès au fait tu tu avais pas aussi une une il n'y avait pas une stagaire là qui travaillait avec toi 
5	50	part1	oui
6	60	part2	 je me souviens plus de de de de son prénom et elle elle continue à travailler avec toi
7	70	part1	oui elle est en train de travailler avec moi 
8	80	part2	ok tu tu la parce que ça serait peut-être pas mal si elle participait aussi donc aux réunions et puis qu'on parle aussi de de ce qu'elle fait ouais qu'est-ce-que t'en penses
9	90	part1	ok
10	100	part2	ok donc 
11	110	part1	j'ai pas bien entendu
12	120	part2	ah tu comprends pas bien le le son est pas bon la parce que je suis sur le le wifi en fait 
13	130	part1	si tu veux on peut non mais il n'y a pas de cable c'est pas assez long ça me parait un peu un peu limite 
14	140	part2	non ça va pas être assez long ouais mais si je me mets là bas ça va quand même être un peu bizarre quoi tandis que là hop ouais mais laisse tomber 
15	150	part1	tu tu est-ce-que tu entends la c'est c'est c'est haché ou non c'est bien ça va ouais ça va oui donc ce que je disais c'est à propos de de de la stagiaire qui qui travaille avec toi donc t'es sur le sur le modèle en langue arabe ça serait peut être bien qu'elle participe aussi aux réunions 
16	160	part2	en fait c'est un jour férié 
17	170	part1	ah aujourd'hui
18	180	part2	oui aujourd'hui demain et après demain 
19	190	part1	ah d'accord
20	200	part2	c'est l'Eid chez vous
21	210	part1	comment 
22	220	part2	c'est l'Eid chez vous
23	230	part1	oui 
24	240	part2	c'est aujourd'hui l'Eid 
25	250	part1	non c'est demain l'Eid mais c'est un jour férié
26	260	part2	ok d'accord
27	270	part1	ok donc bah tu bon non là je comprends mais donc tu tu es peut être pas du coup Linagora c'est fermé aujourd'hui 
28	280	part2	oui oui
29	290	part1	ah ok donc tu es chez toi peut être 
30	300	part2	ouai 
31	310	part1	ok ok bon mais pour la semaine prochaine peut-être on on pourra la la faire participer
32	320	part2	ouais oui ok
33	330	part1	d'accord
34	340	part2	d'accord
35	350	part1	bon très bien 
36	360	part2	bah tu tu pourras lui raconter quand même bah tu t'as qu'à commencer tiens Ilyès et puis tu peux aussi nous nous nous nous parler de ce que tu fais avec elle
37	370	part1	ok en fait au début elle a commencé à faire tourner Kaldi donc je lui demandais d'installer et de lancer un petit un petit exemple pour comprendre de quoi il s'agit comprendre les étapes et comment fonctionne Kaldi
38	380	part2	ensuite je lui donnais la base de langue arabe donc bon son ordinateur n'est pas très puissant donc ça prend beaucoup de temps pour faire l'apprentissage et tous les etapes lancer tous les etapes 
39	390	part1	donc je lui demandais de voir d'autres choses par exemple les caractéristiques comment que extrait quelques caractéristiques changer des paramètres défaire des paramètres pour enfin si ça refonctionne sur une petit base voir l'effet de ces paramètres elle peut le lancer par exemple sur la langue arabe ou bien le français etcetera elle a fait ça et maintenant j'ai lui donné la base de langue française pour faire ça pour tester ça donc donc déjà juste je lui ai demandé d'utiliser au lieu d'utiliser  toute la base française donc juste utiliser une partie et faire calculer et changer les paramètres et de jouer sur cette partie pour ensuite un peu alncer ça sur toute la base et voir la performance en changeant les paramètres
40	400	part2	ok et la la base que vous utilisez pour la langue arabe c'est quoi
41	410	part1	c'est une base d'un challenge 
42	420	part2	ah oui le challenge du de Al-Jazeera c'est ça
43	430	part1	oui c'est ça
44	440	part2	ok 
45	450	part1	et là il y a ya a vraiment du beaucoup de beaucoup de d'informations 
46	460	part2	ouais
47	470	part1	combien d'heures
48	480	part2	je sais pas exactement mais c'est cent quarante giga le la taille des données 
49	490	part1	donc je pense c'est plus que mille heures 
50	500	part2	ah oui ok non mais c'est pour avoir un ordre d'idée hein 
51	510	part1	c'est mille deux cent heures
52	520	part2	mille deux cent heures ok 
53	530	part1	oui
54	540	part2	avec un grand nombre de locuteurs aussi
55	550	part1	oui un nombre donc dataframe Jazeera 
56	560	part2	ouais donc ça c'est c'est intéressant d'avoir pu récupérer ça voilà bon après il va falloir effectivement un ordinateur suffisament puissant pour pour pour pouvoir calculer calculer quoi 
57	570	part1	ouais non on arrête on a commandé la commande est partie pour le pour la la la carte GPU enfin le serveur donc le le serveur de calcul donc on devrait on devrait recevoir en petits morceaux hein d'après ce que ce que j'ai compris de de de la commande en fait c'est parti chez Amazon 
58	580	part2	c'était rapide au final enfin une fois que 
59	590	part1	ah oui oui oui oui c'était rapide oui une fois que une fois que le processus a été enclenché ca a été suffisament rapide j'ai fait la la demande d'achat Michel l'a signé tout de suite et puis et puis Valérie a fait la la commande
60	600	part2	Ben je pense qu'avec la wishlist ça lui a 
61	610	part1	facilité
62	620	part2	ça lui a peut être facilité le travail 
63	630	part1	c'est sur 
64	640	part2	du coup du du coup on devrait recevoir on commence à recevoir des morceaux je crois à la fin de la semaine mais
65	650	part1	ça ça dépend quoi 
66	660	part2	ça sera surtout la semaine prochaine 
67	670	part1	surtout la semaine prochaine 
68	680	part2	bon 
69	690	part1	je serais pas là
70	700	part2	oui ah oui du coup t'es pas la ouais donc on recueillera les les morceaux on verra ouais enfin bon faut pas ouais bon il faut peut être attendre de toute manière d'avoir tous les morceaux ah oui c'est tellement mieux pour commencer sinon c'est un jeu de construction on va on va être déçus s'il manque puis s'il manque la le le ventilo ou l'alim bon c'est des pièces quand même s'il manque la carte mère ça va être difficile ouais ouais pour le monter s'il y a tout le reste 
71	710	part1	bon en en tout état de cause donc c'est parti mais a mon avis avant qu'on puisse l'utiliser il faut bien il faut bien compter compter deux deux semaines quoi entre le la réception du matériel l'installation l'installation et puis du système si on met deux ou trois semaines ça sera ça sera déjà bien à mon avis 
72	720	part2	ok donc donc en tout cas pour pour le pour cette pour cette partie la faudra en tout cas faudra faudra attendre un peu quoi 
73	730	part1	ok et donc sinon sur le pour le toi t'as continué à travailler sur la base donc en français 
74	740	part2	oui 
75	750	part1	ok tu tu peux élaborer un peu
